,Hotel_Name,Price,Primary_Rating,Location_Rating,Cleanliness_Rating,Service_Rating,Value_Rating,Num_Reviews,Address,Amenities
10,The Knickerbocker Hotel - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,171,4.5,5,5,4.5,4.5,5909,"6 Times Square 42nd Street And Broadway, New York City, NY 10036","['Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Rooftop terrace', '24-hour security', 'Free internet', 'Wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Rooftop bar', 'Banquet room', 'Meeting rooms', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Private check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
11,Paramount Hotel New York ,72,3.5,4.5,3.5,3.5,3.5,1539,"235 West 46TH ST Between Broadway & 8th Avenue, New York City, NY 10036-1409","['Valet parking', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Coffee shop', 'Conference facilities', '24-hour security', 'Baggage storage', '24-hour check-in', 'Wifi', 'Paid wifi', 'Internet', 'Breakfast available', 'Breakfast buffet', 'Vending machine', 'Concierge', 'Convenience store', 'Gift shop', 'Non-smoking hotel', 'Shops', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
12,Park Terrace Hotel On Bryant Park ,194,4.5,5,5,5,4.5,1049,"18 W 40th St, New York City, NY 10018-3901","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Meeting rooms', 'Baggage storage', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Sauna', 'Bar / lounge', 'Breakfast available', 'Breakfast buffet', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
13,New York Hilton Midtown ,127,4.0,4.5,4,3.5,3.5,13677,"1335 Avenue of Americas, New York City, NY 10019-6078","['Electric vehicle charging station', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Couples massage', 'Valet parking', 'Paid private parking nearby', 'Paid wifi', 'Paid internet', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Snack bar', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Makeup services', 'Massage', 'Neck massage', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Gift shop', 'Newspaper', 'Non-smoking hotel', 'Shops', 'ATM on site', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
14,The Empire Hotel ,136,3.5,4.5,4,4,3.5,8434,"44 West 63rd Street, New York City, NY 10023-7029","['Paid private parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Pool', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Public wifi', 'Internet', 'Rooftop pool', 'Restaurant', 'Breakfast available', 'Rooftop bar', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Rooftop terrace', '24-hour security', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
15,Hilton Garden Inn Times Square ,82,4.5,5,4.5,4.5,4.5,8807,"790 Eighth Avenue, New York City, NY 10019-7568","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Breakfast available', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Paid public parking on-site', 'Paid private parking nearby', 'Parking garage', 'Parking', 'Free internet', 'Wifi', 'Internet', 'Snack bar', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Convenience store', 'Gift shop', 'Newspaper', 'Non-smoking hotel', 'Shops', 'ATM on site', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
16,Stewart Hotel ,88,4.0,4.5,4,4,4,7772,"371 Seventh Avenue, New York City, NY 10001-3984","['Valet parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Paid private parking nearby', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Restaurant', 'Breakfast available', 'Vending machine', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Currency exchange', 'Non-smoking hotel', 'ATM on site', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry']"
17,The Roosevelt Hotel ,104,3.5,4.5,3.5,3.5,3.5,12043,"45 East 45th Street & Madison Avenue, New York City, NY 10017","['Valet parking', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Billiards', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Parking garage', 'Public wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Wine / champagne', 'Vending machine', 'Rooftop bar', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Facial treatments', 'Manicure', 'Pedicure', 'Salon', 'Rooftop terrace', '24-hour security', 'Baggage storage', 'Concierge', 'Currency exchange', 'Gift shop', 'Non-smoking hotel', 'Shops', 'ATM on site', 'Doorperson', 'Umbrella', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
18,Hotel Riu Plaza New York Times Square ,99,4.5,5,4.5,4.5,4,4636,"305 W 46th St, New York City, NY 10036-3810","['Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Car hire', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Baggage storage', 'Wifi', 'Paid wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Kid-friendly buffet', 'Special diet menus', 'Taxi service', 'Meeting rooms', 'Fax / photocopying', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Private check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
19,Novotel New York Times Square ,125,4.5,5,4.5,4,4,7823,"226 West 52nd Street, New York City, NY 10019-5802","['Paid private parking nearby', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Patio', 'Video game console', ""Children's television networks"", 'Children Activities (Kid / Family Friendly)', 'Wifi', 'Public wifi', 'Paid wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Kids club', 'Highchairs available', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Photo copier / fax In business center', 'Rooftop terrace', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Gift shop', 'Newspaper', 'Non-smoking hotel', 'Outdoor fireplace', 'Outdoor furniture', 'Shared lounge / TV area', 'Shops', 'Sun deck', 'Sun terrace', 'ATM on site', 'Doorperson', 'First aid kit', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
20,Hyatt Centric Times Square New York ,171,4.5,5,4.5,4.5,4,5826,"135 West 45th Street, New York City, NY 10036-4004","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Business Center with Internet Access', 'Conference facilities', 'Rooftop terrace', 'Baggage storage', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Complimentary instant cofffee', 'Rooftop bar', 'Banquet room', 'Meeting rooms', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
21,Arthouse Hotel New York City ,126,4.0,4.5,4.5,4.5,4,7342,"2178 Broadway at West 77TH St., New York City, NY 10024-6647","['Paid public parking nearby', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', '24-hour security', 'Valet parking', 'Wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Complimentary welcome drink', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'ATM on site', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
22,Lotte New York Palace - Updated 2020 Prices & Hotel Reviews (New York City) - Tripadvisor,395,4.5,5,4.5,4.5,4,5652,"455 Madison Avenue, New York City, NY 10022-6845","['Paid public parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Valet parking', 'Paid private parking nearby', 'Parking', 'Paid wifi', 'Paid internet', 'Internet', 'Breakfast available', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Spa', 'Salon', '24-hour security', 'Concierge', 'Currency exchange', 'Non-smoking hotel', 'Butler service', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
23,"Club Quarters Hotel, Grand Central ",116,4.5,5,4.5,4.5,4.5,2220,"128 E 45th St, New York City, NY 10017-3104","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Business Center with Internet Access', 'Conference facilities', 'Rooftop terrace', 'Baggage storage', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Vending machine', 'Meeting rooms', 'Executive lounge access', 'Newspaper', 'Non-smoking hotel', 'Shared lounge / TV area', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry']"
24,Pod Times Square ,76,4.0,4.5,4.5,4,4,1223,"400 W 42nd St, New York City, NY 10036-6809","['Free High Speed Internet (WiFi)', 'Free internet', 'Bar / lounge', 'Airport transportation', '24-hour security', 'Baggage storage', '24-hour check-in', '24-hour front desk', 'Wifi', 'Public wifi', 'Internet', 'Taxi service', 'Concierge', 'Non-smoking hotel']"
25,Moxy Nyc Times Square ,101,4.0,5,4.5,4.5,4,1980,"485 7th Avenue, New York City, NY 10018-6804","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Nightclub / DJ', 'Pets Allowed ( Dog / Pet Friendly )', 'Meeting rooms', 'Rooftop terrace', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Rooftop bar', '24-hour security', 'Baggage storage', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
26,Grand Hyatt New York ,144,3.5,4.5,4,4,3.5,11789,"109 East 42nd Street Park Avenue at Grand Central Terminal, New York City, NY 10017-8500","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Baggage storage', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Banquet room', 'Meeting rooms', 'Concierge', 'Convenience store', 'Non-smoking hotel', 'ATM on site', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
27,Hotel Beacon - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,227,4.5,5,4.5,4.5,4.5,5260,"2130 Broadway at 75th Street Broadway at 75th street, New York City, NY 10023-1724","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', ""Children's television networks"", 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Complimentary instant cofffee', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Self-serve laundry']"
28,The Roxy Hotel Tribeca - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,148,4.5,5,5,5,4.5,1594,"2 6th Avenue, New York City, NY 10013-2401","['Paid private parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Evening entertainment', 'Nightclub / DJ', 'Pets Allowed ( Dog / Pet Friendly )', 'Airport transportation', 'Parking', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast buffet', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Meeting rooms', '24-hour security', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
29,Archer Hotel New York - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,169,4.5,5,5,5,4.5,4169,"45 West 38th Street, New York City, NY 10018-5501","['Secured parking', 'Free High Speed Internet (WiFi)', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Rooftop terrace', '24-hour security', '24-hour check-in', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Rooftop bar', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Shoeshine']"
30,Arlo Soho - Updated 2020 Prices & Hotel Reviews (New York City) - Tripadvisor,111,4.5,4.5,5,4.5,4.5,1979,"231 Hudson St, New York City, NY 10013-1412","['Free High Speed Internet (WiFi)', 'Bar / lounge', 'Bicycle rental', 'Nightclub / DJ', 'Taxi service', 'Conference facilities', 'Meeting rooms', 'Rooftop terrace', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Snack bar', 'Rooftop bar', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Non-smoking hotel', 'Shared lounge / TV area', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
31,Parker New York ,163,3.5,4.5,4,4,3.5,835,"119 West 56th Street, New York City, NY 10019-4000","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Evening entertainment', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Parking', 'Free internet', 'Wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Fitness / spa locker rooms', 'Restaurant', 'Breakfast available', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Makeup services', 'Manicure', 'Pedicure', 'Salon', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
32,Merrion Row Hotel And Public House ,185,5.0,5,5,5,5,345,"119 W 45th St, New York City, NY 10036-4004","['Free High Speed Internet (WiFi)', 'Free internet', 'Bar / lounge', 'Non-smoking hotel', '24-hour front desk', 'Private check-in / check-out', 'Dry cleaning', 'Laundry service', 'Wifi', 'Internet', 'Restaurant', 'Breakfast available']"
33,Crowne Plaza Hy36 Midtown Manhattan ,127,4.5,4.5,5,4.5,4.5,921,"320 W 36th St, New York City, NY 10018-7598","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Breakfast available', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Meeting rooms', 'Secured parking', 'Parking', 'Free internet', 'Wifi', 'Internet', 'Complimentary instant cofffee', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
34,Hotel 50 Bowery Nyc ,109,4.5,4.5,5,4.5,4.5,1629,"50 Bowery, New York City, NY 10013-4801","['Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Conference facilities', 'Meeting rooms', 'Rooftop terrace', 'Baggage storage', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Rooftop bar', 'Concierge', 'Non-smoking hotel', 'Doorperson', 'Dry cleaning', 'Laundry service']"
35,The Plaza - Updated 2020 Prices & Hotel Reviews (New York City) - Tripadvisor,540,4.5,5,4.5,4.5,3.5,3118,"Fifth Avenue at Central Park South, New York City, NY 10019","['Parking', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Bowling offsite', 'Babysitting', 'Books, DVDs, music for children', 'Wifi', 'Free wifi in the business center', 'Paid wifi', 'Paid internet', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Happy hour', ""Kids' meals"", 'Snack bar', 'Wine / champagne', 'Evening entertainment', 'Walking tours', 'Board games / puzzles', ""Children's television networks"", 'Indoor play area for children', 'Highchairs available', 'Pets Allowed ( Dog / Pet Friendly )', 'Airport transportation', 'Car hire', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Facial treatments', 'Hand massage', 'Makeup services', 'Manicure', 'Neck massage', 'Pedicure', 'Waxing services', 'Concierge', 'Convenience store', 'Currency exchange', 'Gift shop', 'Non-smoking hotel', 'Butler service', 'Doorperson', 'First aid kit', 'Umbrella', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
36,Merrion Row Hotel And Public House ,185,5.0,5,5,5,5,345,"119 W 45th St, New York City, NY 10036-4004","['Free High Speed Internet (WiFi)', 'Free internet', 'Bar / lounge', 'Non-smoking hotel', '24-hour front desk', 'Private check-in / check-out', 'Dry cleaning', 'Laundry service', 'Wifi', 'Internet', 'Restaurant', 'Breakfast available']"
37,Refinery Hotel ,151,4.5,5,5,4.5,4.5,5556,"63 West 38th Street, New York City, NY 10018-3818","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Coffee shop', 'Evening entertainment', 'Nightclub / DJ', ""Children's television networks"", 'Car hire', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Rooftop bar', 'Breakfast available', 'Breakfast in the room', 'Complimentary welcome drink', 'Happy hour', 'Wine / champagne', 'Taxi service', 'Meeting rooms', 'Rooftop terrace', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'ATM on site', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
38,Arlo Soho - Updated 2020 Prices & Hotel Reviews (New York City) - Tripadvisor,111,4.5,4.5,5,4.5,4.5,1979,"231 Hudson St, New York City, NY 10013-1412","['Free High Speed Internet (WiFi)', 'Bar / lounge', 'Bicycle rental', 'Nightclub / DJ', 'Taxi service', 'Conference facilities', 'Meeting rooms', 'Rooftop terrace', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Snack bar', 'Rooftop bar', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Non-smoking hotel', 'Shared lounge / TV area', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
39,Cambria Hotel New York - Chelsea ,98,4.5,4.5,4.5,4.5,4.5,1409,"123 W 28th Street, New York City, NY 10001-6120","['Valet parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Patio', 'Business Center with Internet Access', 'Banquet room', 'Rooftop terrace', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Rooftop bar', 'Meeting rooms', 'Baggage storage', 'Concierge', 'Convenience store', 'Newspaper', 'Non-smoking hotel', 'Outdoor furniture', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
40,The Dominick Hotel - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,325,4.5,4.5,5,4.5,4,3800,"246 Spring Street, New York City, NY 10013-1521","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Pool', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Airport transportation', 'Business Center with Internet Access', 'Wifi', 'Public wifi', 'Internet', 'Fitness / spa locker rooms', 'Sauna', 'Rooftop pool', 'Pool with view', 'Outdoor pool', 'Heated pool', 'Restaurant', 'Breakfast available', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Couples massage', 'Facial treatments', 'Full body massage', 'Head massage', 'Massage', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Butler service', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
